"","Date","Versus","Ground","D.N","Runs","B.F","S.R","Aggr","Avg","avg_SR","dismissal","home_away","venue_country"
"175",2011-01-18,"South Africa","Newlands","Yes",5,12,41.67,5801,49.58,87.93,"caught out","away","South Africa"
"176",2011-01-21,"South Africa","St George's Park","Yes",2,8,25,5803,49.18,87.86,"caught out","away","South Africa"
"177",2011-01-23,"South Africa","SuperSport Park","No",5,10,50,5808,48.81,87.8,"caught out","away","South Africa"
"178",2011-02-19,"Bangladesh","Shere Bangla National Stadium","Yes",NA,NA,NA,5808,48.81,87.8,"did not bat","away","Bangladesh"
"179",2011-02-27,"England","M Chinnaswamy Stadium","Yes",31,25,124,5839,48.66,87.94,"caught out","home","India"
"180",2011-03-06,"Ireland","M Chinnaswamy Stadium","Yes",34,50,68,5873,48.54,87.79,"leg by wicket","home","India"
"181",2011-03-09,"Netherlands","Arun Jaitley Stadium","Yes",19,40,47.5,5892,48.69,87.55,"not out","home","India"
"182",2011-03-12,"South Africa","Vidarbha Cricket Association Stadium","Yes",12,21,57.14,5904,48.79,87.45,"not out","home","India"
"183",2011-03-20,"West Indies","MA Chidambaram Stadium","Yes",22,30,73.33,5926,48.57,87.39,"stumped","home","India"
"184",2011-03-24,"Australia","Sardar Patel Stadium","Yes",7,8,87.5,5933,48.24,87.39,"caught out","home","India"
"185",2011-03-30,"Pakistan","Punjab Cricket Association IS Bindra Stadium","Yes",25,42,59.52,5958,48.05,87.22,"leg by wicket","home","India"
"186",2011-04-02,"Sri Lanka","Wankhede Stadium","Yes",91,79,115.19,6049,48.78,87.54,"not out","home","India"
"187",2011-09-03,"England","Riverside Ground","No",33,36,91.67,6082,48.66,87.56,"caught out","away","England"
"188",2011-09-06,"England","The Rose Bowl","Yes",6,5,120,6088,48.32,87.58,"caught out","away","England"
"189",2011-09-09,"England","Kennington Oval","Yes",69,103,66.99,6157,48.48,87.28,"caught out","away","England"
"190",2011-09-11,"England","Lord's","No",78,71,109.86,6235,49.09,87.51,"not out","away","England"
"191",2011-09-16,"England","Sophia Gardens","No",50,26,192.31,6285,49.49,87.89,"not out","away","Wales"
"192",2011-10-14,"England","Rajiv Gandhi International Stadium","Yes",87,70,124.29,6372,50.17,88.24,"not out","home","India"
"193",2011-10-17,"England","Arun Jaitley Stadium","Yes",NA,NA,NA,6372,50.17,88.24,"did not bat","home","India"
"194",2011-10-20,"England","Punjab Cricket Association IS Bindra Stadium","Yes",35,31,112.9,6407,50.45,88.35,"not out","home","India"
"195",2011-10-23,"England","Wankhede Stadium","Yes",15,18,83.33,6422,50.57,88.34,"not out","home","India"
"196",2011-10-25,"England","Eden Gardens","Yes",75,69,108.7,6497,51.16,88.53,"not out","home","India"
"197",2012-02-05,"Australia","Melbourne Cricket Ground","Yes",29,38,76.32,6526,50.98,88.46,"caught out","away","Australia"
"198",2012-02-08,"Sri Lanka","WACA Ground","Yes",4,5,80,6530,50.62,88.46,"caught out","away","Australia"
"199",2012-02-12,"Australia","Adelaide Oval","Yes",44,58,75.86,6574,50.96,88.36,"not out","away","Australia"
"200",2012-02-14,"Sri Lanka","Adelaide Oval","Yes",58,69,84.06,6632,51.41,88.32,"not out","away","Australia"
"201",2012-02-19,"Australia","Brisbane Cricket Ground","Yes",56,84,66.67,6688,51.45,88.08,"caught out","away","Australia"
"202",2012-02-26,"Australia","Sydney Cricket Ground","Yes",14,49,28.57,6702,51.16,87.7,"leg by wicket","away","Australia"
"203",2012-02-28,"Sri Lanka","Bellerive Oval","Yes",NA,NA,NA,6702,51.16,87.7,"did not bat","away","Australia"
"204",2012-03-13,"Sri Lanka","Shere Bangla National Stadium","Yes",46,26,176.92,6748,51.51,88,"not out","away","Bangladesh"
"205",2012-03-16,"Bangladesh","Shere Bangla National Stadium","Yes",21,11,190.91,6769,51.67,88.15,"not out","away","Bangladesh"
"206",2012-03-18,"Pakistan","Shere Bangla National Stadium","Yes",4,1,400,6773,51.7,88.19,"not out","away","Bangladesh"
"207",2012-07-21,"Sri Lanka","Mahinda Rajapaksha International Cricket Stadium","Yes",35,29,120.69,6808,51.58,88.31,"caught out","away","Sri Lanka"
"208",2012-07-24,"Sri Lanka","Mahinda Rajapaksha International Cricket Stadium","Yes",11,16,68.75,6819,51.27,88.27,"caught out","away","Sri Lanka"
"209",2012-07-28,"Sri Lanka","R Premadasa Stadium","Yes",31,49,63.27,6850,51.12,88.11,"bowled out","away","Sri Lanka"
"210",2012-07-31,"Sri Lanka","R Premadasa Stadium","Yes",NA,NA,NA,6850,51.12,88.11,"did not bat","away","Sri Lanka"
"211",2012-08-04,"Sri Lanka","Pallekele International Cricket Stadium","Yes",58,38,152.63,6908,51.17,88.43,"caught out","away","Sri Lanka"
"212",2012-12-30,"Pakistan","MA Chidambaram Stadium","No",113,125,90.4,7021,52.01,88.46,"not out","home","India"
"213",2013-01-03,"Pakistan","Eden Gardens","Yes",54,89,60.67,7075,52.41,88.15,"not out","home","India"
"214",2013-01-06,"Pakistan","Arun Jaitley Stadium","Yes",36,55,65.45,7111,52.29,88,"caught out","home","India"
"215",2013-01-11,"England","Saurashtra Cricket Association Stadium","Yes",32,25,128,7143,52.14,88.12,"caught out","home","India"
"216",2013-01-15,"England","Nehru Stadium (Kochi)","Yes",72,66,109.09,7215,52.28,88.29,"caught out","home","India"
"217",2013-01-19,"England","JSCA International Stadium Complex","Yes",10,12,83.33,7225,52.36,88.28,"not out","home","India"
"218",2013-01-23,"England","Punjab Cricket Association IS Bindra Stadium","Yes",19,21,90.48,7244,52.12,88.29,"caught out","home","India"
"219",2013-01-27,"England","Himachal Pradesh Cricket Association Stadium","No",15,23,65.22,7259,51.85,88.22,"leg by wicket","home","India"
"220",2013-06-06,"South Africa","Sophia Gardens","No",27,26,103.85,7286,51.67,88.27,"caught out","away","Wales"
"221",2013-06-11,"West Indies","Kennington Oval","No",NA,NA,NA,7286,51.67,88.27,"did not bat","away","England"
"222",2013-06-15,"Pakistan","Edgbaston","No",NA,NA,NA,7286,51.67,88.27,"did not bat","away","England"
"223",2013-06-20,"Sri Lanka","Sophia Gardens","No",NA,NA,NA,7286,51.67,88.27,"did not bat","away","Wales"
"224",2013-06-23,"England","Edgbaston","No",0,4,0,7286,51.31,88.23,"caught out","away","England"
"225",2013-06-30,"West Indies","Sabina Park","No",27,35,77.14,7313,51.14,88.18,"bowled out","away","Jamaica"
"226",2013-07-11,"Sri Lanka","Queen's Park Oval","No",45,52,86.54,7358,51.45,88.17,"not out","away","Trinidad & Tobago"
"227",2013-10-13,"Australia","Maharashtra Cricket Association Stadium","Yes",19,22,86.36,7377,51.23,88.17,"bowled out","home","India"
"228",2013-10-16,"Australia","Sawai Mansingh Stadium","Yes",NA,NA,NA,7377,51.23,88.17,"did not bat","home","India"
"229",2013-10-19,"Australia","Punjab Cricket Association IS Bindra Stadium","Yes",139,121,114.88,7516,52.19,88.55,"not out","home","India"
"230",2013-10-23,"Australia","JSCA International Stadium Complex","Yes",NA,NA,NA,7516,52.19,88.55,"did not bat","home","India"
"231",2013-10-30,"Australia","Vidarbha Cricket Association Stadium","Yes",25,23,108.7,7541,52.37,88.6,"not out","home","India"
"232",2013-11-02,"Australia","M Chinnaswamy Stadium","Yes",62,38,163.16,7603,52.43,88.93,"run out","home","India"
"233",2013-11-21,"West Indies","Nehru Stadium (Kochi)","No",13,7,185.71,7616,52.52,89.01,"not out","home","India"
"234",2013-11-24,"West Indies","Dr YS Rajasekhara Reddy Cricket Stadium","No",51,40,127.5,7667,52.88,89.19,"not out","home","India"
"235",2013-11-27,"West Indies","Green Park","No",23,23,100,7690,53.03,89.22,"not out","home","India"
"236",2013-12-05,"South Africa","Wanderers Stadium","Yes",65,71,91.55,7755,53.12,89.24,"bowled out","away","South Africa"
"237",2013-12-08,"South Africa","Kingsmead","No",19,31,61.29,7774,52.88,89.14,"caught out","away","South Africa"
"238",2013-12-11,"South Africa","SuperSport Park","Yes",NA,NA,NA,7774,52.88,89.14,"did not bat","away","South Africa"
"239",2014-01-19,"New Zealand","McLean Park","Yes",40,46,86.96,7814,52.8,89.13,"caught out","away","New Zealand"
"240",2014-01-22,"New Zealand","Seddon Park","Yes",56,44,127.27,7870,52.82,89.32,"caught out","away","New Zealand"
"241",2014-01-25,"New Zealand","Eden Park","Yes",50,60,83.33,7920,52.8,89.28,"caught out","away","New Zealand"
"242",2014-01-28,"New Zealand","Seddon Park","Yes",79,73,108.22,7999,53.33,89.43,"not out","away","New Zealand"
"243",2014-01-31,"New Zealand","Westpac Stadium","Yes",47,72,65.28,8046,53.28,89.24,"caught out","away","New Zealand"
"244",2014-08-27,"England","Sophia Gardens","No",52,51,101.96,8098,53.28,89.31,"bowled out","away","Wales"
"245",2014-08-30,"England","Trent Bridge","No",NA,NA,NA,8098,53.28,89.31,"did not bat","away","England"
"246",2014-09-02,"England","Edgbaston","No",NA,NA,NA,8098,53.28,89.31,"did not bat","away","England"
"247",2014-09-05,"England","Headingley","No",29,42,69.05,8127,53.12,89.22,"caught out","away","England"
"248",2014-10-08,"West Indies","Nehru Stadium (Kochi)","Yes",8,21,38.1,8135,52.82,89.1,"bowled out","home","India"
"249",2014-10-11,"West Indies","Arun Jaitley Stadium","Yes",51,40,127.5,8186,53.16,89.27,"not out","home","India"
"250",2014-10-17,"West Indies","Himachal Pradesh Cricket Association Stadium","Yes",6,5,120,8192,52.85,89.29,"run out","home","India"
"251",2015-01-18,"Australia","Melbourne Cricket Ground","Yes",19,31,61.29,8211,52.63,89.19,"bowled out","away","Australia"
"252",2015-01-20,"England","Brisbane Cricket Ground","Yes",34,61,55.74,8245,52.52,88.97,"caught out","away","Australia"
"253",2015-01-26,"Australia","Sydney Cricket Ground","Yes",NA,NA,NA,8245,52.52,88.97,"did not bat","away","Australia"
"254",2015-01-30,"England","WACA Ground","No",17,32,53.13,8262,52.29,88.85,"leg by wicket","away","Australia"
"255",2015-02-15,"Pakistan","Adelaide Oval","Yes",18,13,138.46,8280,52.08,88.92,"caught out","away","Australia"
"256",2015-02-22,"South Africa","Melbourne Cricket Ground","Yes",18,11,163.64,8298,51.86,89.01,"caught out","away","Australia"
"257",2015-02-28,"United Arab Emirates","WACA Ground","Yes",NA,NA,NA,8298,51.86,89.01,"did not bat","away","Australia"
"258",2015-03-06,"West Indies","WACA Ground","Yes",45,56,80.36,8343,52.14,88.95,"not out","away","Australia"
"259",2015-03-10,"Ireland","Seddon Park","Yes",NA,NA,NA,8343,52.14,88.95,"did not bat","away","New Zealand"
"260",2015-03-14,"Zimbabwe","Eden Park","Yes",85,76,111.84,8428,52.68,89.14,"not out","away","New Zealand"
"261",2015-03-19,"Bangladesh","Melbourne Cricket Ground","Yes",6,11,54.55,8434,52.39,89.1,"caught out","away","Australia"
"262",2015-03-26,"Australia","Sydney Cricket Ground","Yes",65,65,100,8499,52.46,89.17,"run out","away","Australia"
"263",2015-06-18,"Bangladesh","Shere Bangla National Stadium","Yes",5,7,71.43,8504,52.17,89.16,"caught out","away","Bangladesh"
"264",2015-06-21,"Bangladesh","Shere Bangla National Stadium","Yes",47,75,62.67,8551,52.14,88.95,"caught out","away","Bangladesh"
"265",2015-06-24,"Bangladesh","Shere Bangla National Stadium","Yes",69,77,89.61,8620,52.24,88.96,"caught out","away","Bangladesh"
"266",2015-10-11,"South Africa","Green Park","No",31,30,103.33,8651,52.11,89,"caught out","home","India"
"267",2015-10-14,"South Africa","Holkar Cricket Stadium","Yes",92,86,106.98,8743,52.67,89.16,"not out","home","India"
"268",2015-10-18,"South Africa","Saurashtra Cricket Association Stadium","Yes",47,61,77.05,8790,52.63,89.08,"caught out","home","India"
"269",2015-10-22,"South Africa","MA Chidambaram Stadium","Yes",15,16,93.75,8805,52.41,89.09,"caught out","home","India"
"270",2015-10-25,"South Africa","Wankhede Stadium","Yes",27,29,93.1,8832,52.26,89.1,"bowled out","home","India"
"271",2016-01-12,"Australia","WACA Ground","No",18,13,138.46,8850,52.06,89.17,"caught out","away","Australia"
"272",2016-01-15,"Australia","Brisbane Cricket Ground","Yes",11,10,110,8861,51.82,89.19,"caught out","away","Australia"
"273",2016-01-17,"Australia","Melbourne Cricket Ground","Yes",23,9,255.56,8884,51.65,89.34,"caught out","away","Australia"
"274",2016-01-20,"Australia","Manuka Oval","Yes",0,3,0,8884,51.35,89.31,"caught out","away","Australia"
"275",2016-01-23,"Australia","Sydney Cricket Ground","Yes",34,42,80.95,8918,51.25,89.28,"caught out","away","Australia"
"276",2016-06-11,"Zimbabwe","Harare Sports Club","No",NA,NA,NA,8918,51.25,89.28,"did not bat","away","Zimbabwe"
"277",2016-06-13,"Zimbabwe","Harare Sports Club","No",NA,NA,NA,8918,51.25,89.28,"did not bat","away","Zimbabwe"
"278",2016-06-15,"Zimbabwe","Harare Sports Club","No",NA,NA,NA,8918,51.25,89.28,"did not bat","away","Zimbabwe"
"279",2016-10-16,"New Zealand","Himachal Pradesh Cricket Association Stadium","Yes",21,24,87.5,8939,51.08,89.27,"run out","home","India"
"280",2016-10-20,"New Zealand","Arun Jaitley Stadium","Yes",39,65,60,8978,51.01,89.09,"caught out","home","India"
"281",2016-10-23,"New Zealand","Punjab Cricket Association IS Bindra Stadium","Yes",80,91,87.91,9058,51.18,89.07,"caught out","home","India"
"282",2016-10-26,"New Zealand","JSCA International Stadium Complex","Yes",11,31,35.48,9069,50.95,88.91,"bowled out","home","India"
"283",2016-10-29,"New Zealand","Dr YS Rajasekhara Reddy Cricket Stadium","Yes",41,59,69.49,9110,50.89,88.8,"leg by wicket","home","India"
"284",2017-01-15,"England","Maharashtra Cricket Association Stadium","Yes",6,6,100,9116,50.64,88.81,"caught out","home","India"
"285",2017-01-19,"England","Barabati Stadium","Yes",134,122,109.84,9250,51.1,89.05,"caught out","home","India"
"286",2017-01-22,"England","Eden Gardens","Yes",25,36,69.44,9275,50.96,88.99,"caught out","home","India"
"287",2017-06-04,"Pakistan","Edgbaston","No",NA,NA,NA,9275,50.96,88.99,"did not bat","away","England"
"288",2017-06-08,"Sri Lanka","Kennington Oval","No",63,52,121.15,9338,51.03,89.15,"caught out","away","England"
"289",2017-06-11,"South Africa","Kennington Oval","No",NA,NA,NA,9338,51.03,89.15,"did not bat","away","England"
"290",2017-06-15,"Bangladesh","Edgbaston","No",NA,NA,NA,9338,51.03,89.15,"did not bat","away","England"
"291",2017-06-18,"Pakistan","Kennington Oval","No",4,16,25,9342,50.77,89.05,"caught out","away","England"
"292",2017-06-23,"West Indies","Queen's Park Oval","No",9,9,100,9351,50.82,89.06,"not out","away","Trinidad & Tobago"
"293",2017-06-25,"West Indies","Queen's Park Oval","No",13,13,100,9364,50.89,89.07,"not out","away","Trinidad & Tobago"
"294",2017-06-30,"West Indies","Sir Vivian Richards Stadium","No",78,79,98.73,9442,51.32,89.14,"not out","away","Antigua & Barbuda"
"295",2017-07-02,"West Indies","Sir Vivian Richards Stadium","No",54,114,47.37,9496,51.33,88.7,"caught out","away","Antigua & Barbuda"
"296",2017-07-06,"West Indies","Sabina Park","No",NA,NA,NA,9496,51.33,88.7,"did not bat","away","Jamaica"
"297",2017-08-20,"Sri Lanka","Rangiri Dambulla International Stadium","No",NA,NA,NA,9496,51.33,88.7,"did not bat","away","Sri Lanka"
"298",2017-08-24,"Sri Lanka","Pallekele International Cricket Stadium","Yes",45,68,66.18,9541,51.57,88.56,"not out","away","Sri Lanka"
"299",2017-08-27,"Sri Lanka","Pallekele International Cricket Stadium","Yes",67,86,77.91,9608,51.94,88.47,"not out","away","Sri Lanka"
"300",2017-08-31,"Sri Lanka","R Premadasa Stadium","Yes",49,42,116.67,9657,52.2,88.58,"not out","away","Sri Lanka"
"301",2017-09-03,"Sri Lanka","R Premadasa Stadium","Yes",1,1,100,9658,52.21,88.58,"not out","away","Sri Lanka"
"302",2017-09-17,"Australia","MA Chidambaram Stadium","Yes",79,88,89.77,9737,52.35,88.59,"caught out","home","India"
"303",2017-09-21,"Australia","Eden Gardens","Yes",5,10,50,9742,52.1,88.56,"caught out","home","India"
"304",2017-09-24,"Australia","Holkar Cricket Stadium","Yes",3,6,50,9745,52.11,88.53,"not out","home","India"
"305",2017-09-28,"Australia","M Chinnaswamy Stadium","Yes",13,10,130,9758,51.9,88.57,"bowled out","home","India"
"306",2017-10-01,"Australia","Vidarbha Cricket Association Stadium","Yes",NA,NA,NA,9758,51.9,88.57,"did not bat","home","India"
"307",2017-10-22,"New Zealand","Wankhede Stadium","Yes",25,42,59.52,9783,51.76,88.46,"caught out","home","India"
"308",2017-10-25,"New Zealand","Maharashtra Cricket Association Stadium","Yes",18,21,85.71,9801,51.86,88.46,"not out","home","India"
"309",2017-10-29,"New Zealand","Green Park","Yes",25,17,147.06,9826,51.72,88.55,"caught out","home","India"
"310",2017-12-10,"Sri Lanka","Himachal Pradesh Cricket Association Stadium","Yes",65,87,74.71,9891,51.79,88.44,"caught out","home","India"
"311",2017-12-13,"Sri Lanka","Punjab Cricket Association IS Bindra Stadium","Yes",7,5,140,9898,51.55,88.46,"leg by wicket","home","India"
"312",2017-12-17,"Sri Lanka","Dr YS Rajasekhara Reddy Cricket Stadium","Yes",NA,NA,NA,9898,51.55,88.46,"did not bat","home","India"
"313",2018-02-01,"South Africa","Kingsmead","Yes",4,3,133.33,9902,51.57,88.47,"not out","away","South Africa"
"314",2018-02-04,"South Africa","SuperSport Park","Yes",NA,NA,NA,9902,51.57,88.47,"did not bat","away","South Africa"
"315",2018-02-07,"South Africa","Newlands","Yes",10,22,45.45,9912,51.36,88.39,"caught out","away","South Africa"
"316",2018-02-10,"South Africa","Wanderers Stadium","Yes",42,43,97.67,9954,51.58,88.42,"not out","away","South Africa"
"317",2018-02-13,"South Africa","St George's Park","Yes",13,17,76.47,9967,51.38,88.41,"caught out","away","South Africa"
"318",2018-02-16,"South Africa","SuperSport Park","Yes",NA,NA,NA,9967,51.38,88.41,"did not bat","away","South Africa"
"319",2018-07-12,"England","Trent Bridge","No",NA,NA,NA,9967,51.38,88.41,"did not bat","away","England"
"320",2018-07-14,"England","Lord's","No",37,59,62.71,10004,51.3,88.27,"caught out","away","England"
"321",2018-07-17,"England","Headingley","No",42,66,63.64,10046,51.26,88.13,"caught out","away","England"
"322",2018-09-18,"Hong Kong","Dubai International Cricket Stadium","Yes",0,3,0,10046,50.99,88.11,"caught out","away","UAE"
"323",2018-09-19,"Pakistan","Dubai International Cricket Stadium","Yes",NA,NA,NA,10046,50.99,88.11,"did not bat","away","UAE"
"324",2018-09-21,"Bangladesh","Dubai International Cricket Stadium","Yes",33,37,89.19,10079,50.9,88.11,"caught out","away","UAE"
"325",2018-09-23,"Pakistan","Dubai International Cricket Stadium","Yes",NA,NA,NA,10079,50.9,88.11,"did not bat","away","UAE"
"326",2018-09-25,"Afghanistan","Dubai International Cricket Stadium","Yes",8,17,47.06,10087,50.69,88.05,"leg by wicket","away","UAE"
"327",2018-09-28,"Bangladesh","Dubai International Cricket Stadium","Yes",36,67,53.73,10123,50.62,87.85,"caught out","away","UAE"
"328",2018-10-21,"West Indies","Barsapara Cricket Stadium","Yes",NA,NA,NA,10123,50.62,87.85,"did not bat","home","India"
"329",2018-10-24,"West Indies","Dr YS Rajasekhara Reddy Cricket Stadium","Yes",20,25,80,10143,50.46,87.83,"bowled out","home","India"
"330",2018-10-27,"West Indies","Maharashtra Cricket Association Stadium","Yes",7,11,63.64,10150,50.25,87.81,"caught out","home","India"
"331",2018-10-29,"West Indies","Brabourne Stadium","Yes",23,15,153.33,10173,50.11,87.9,"caught out","home","India"
"332",2018-11-01,"West Indies","Greenfield International Stadium","Yes",NA,NA,NA,10173,50.11,87.9,"did not bat","home","India"
"333",2019-01-12,"Australia","Sydney Cricket Ground","Yes",51,96,53.13,10224,50.12,87.61,"leg by wicket","away","Australia"
"334",2019-01-15,"Australia","Adelaide Oval","Yes",55,54,101.85,10279,50.39,87.67,"not out","away","Australia"
"335",2019-01-18,"Australia","Melbourne Cricket Ground","Yes",87,114,76.32,10366,50.81,87.57,"not out","away","Australia"
"336",2019-01-23,"New Zealand","McLean Park","Yes",NA,NA,NA,10366,50.81,87.57,"did not bat","away","New Zealand"
"337",2019-01-26,"New Zealand","Bay Oval","Yes",48,33,145.45,10414,51.05,87.73,"not out","away","New Zealand"
"338",2019-02-03,"New Zealand","Westpac Stadium","Yes",1,6,16.67,10415,50.8,87.69,"bowled out","away","New Zealand"
"339",2019-03-02,"Australia","Rajiv Gandhi International Stadium","Yes",59,72,81.94,10474,51.09,87.66,"not out","home","India"
"340",2019-03-05,"Australia","Vidarbha Cricket Association Stadium","Yes",0,1,0,10474,50.84,87.65,"caught out","home","India"
"341",2019-03-08,"Australia","JSCA International Stadium Complex","Yes",26,42,61.9,10500,50.72,87.56,"bowled out","home","India"
"342",2019-06-05,"South Africa","The Rose Bowl","No",34,46,73.91,10534,50.64,87.51,"caught out","away","England"
"343",2019-06-09,"Australia","Kennington Oval","No",27,14,192.86,10561,50.53,87.63,"caught out","away","England"
"344",2019-06-16,"Pakistan","Old Trafford","No",1,2,50,10562,50.3,87.62,"caught out","away","England"
"345",2019-06-22,"Afghanistan","The Rose Bowl","No",28,52,53.85,10590,50.19,87.48,"stumped","away","England"
"346",2019-06-27,"West Indies","Old Trafford","No",56,61,91.8,10646,50.45,87.5,"not out","away","England"
"347",2019-06-30,"England","Edgbaston","No",42,31,135.48,10688,50.65,87.62,"not out","away","England"
"348",2019-07-02,"Bangladesh","Edgbaston","No",35,33,106.06,10723,50.58,87.67,"caught out","away","England"
"349",2019-07-06,"Sri Lanka","Headingley","No",NA,NA,NA,10723,50.58,87.67,"did not bat","away","England"
"350",2019-07-09,"New Zealand","Old Trafford","No",50,72,69.44,10773,50.58,87.56,"run out","away","England"
